YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,DEPART_TEMP,DEPART_HUMIDITY,DEPART_WINDIR,DEPART_WIND,DEPART_PRECIP,ARRIVAL_TEMP,ARRIVAL_HUMIDITY,ARRIVAL_WINDIR,ARRIVAL_WIND,ARRIVAL_PRECIP
2015,1,7,3,AA,2400,N3ETAA,LAX,DFW,5,5,0,13,18,169,169,152,1235,450,4,454,454,0,0,0,,,,,,,63,30,ENE,6,0,34,70,N,12,0
2015,1,7,3,US,2020,N561UW,PHX,CLT,15,10,-5,13,23,225,215,196,1773,539,6,600,545,0,0,0,,,,,,,55,49,CALM,0,0,29,78,CALM,0,0
2015,1,7,3,F9,1298,N924FR,PHX,CVG,15,2359,-16,14,13,205,209,187,1569,520,8,540,528,0,0,0,,,,,,,55,49,CALM,0,0,16,68,WNW,20,0
2015,1,7,3,AA,258,N3JRAA,LAX,MIA,20,20,0,25,45,284,314,277,2342,822,12,804,834,1,0,0,,30,0,0,0,0,63,30,ENE,6,0,71,87,WNW,6,0
2015,1,7,3,AS,135,N403AS,SEA,ANC,25,30,5,13,43,235,200,183,1448,246,4,320,250,0,0,0,,,,,,,45,97,CALM,0,0,11,70,E,6,0
2015,1,7,3,NK,612,N635NK,LAS,MSP,25,158,93,12,210,181,182,164,1299,654,6,526,700,1,0,0,,94,0,0,0,0,39,93,WSW,10,0,-8,59,NW,14,0
2015,1,7,3,US,448,N163US,SLC,CLT,30,33,3,51,124,225,233,176,1727,620,6,615,626,0,0,0,,,,,,,31,85,CALM,0,0,29,78,CALM,0,0
2015,1,7,3,AA,1112,N3DWAA,SFO,DFW,30,39,9,12,51,189,200,183,1464,554,5,539,559,1,0,0,,11,0,0,9,0,49,77,CALM,0,0,34,61,N,20,0
2015,1,7,3,US,1866,N545UW,LAX,CLT,35,37,2,20,57,269,277,245,2125,802,12,804,814,0,0,0,,,,,,,63,30,ENE,6,0,36,52,WSW,3,0
2015,1,7,3,UA,1012,N63820,LAS,IAH,45,53,8,19,112,165,168,143,1222,535,6,530,541,0,0,0,,,,,,,50,48,SSW,7,0,46,93,CALM,0,0
2015,1,7,3,UA,1200,N69804,SFO,IAH,45,41,-4,13,54,212,211,193,1635,607,5,617,612,0,0,0,,,,,,,49,77,CALM,0,0,46,93,CALM,0,0
2015,1,7,3,UA,1500,N37471,LAX,IAH,45,50,5,12,102,188,179,161,1379,543,6,553,549,0,0,0,,,,,,,63,30,ENE,6,0,46,93,CALM,0,0
2015,1,7,3,AA,1674,N3FCAA,LAS,MIA,45,39,-6,28,107,264,289,248,2174,815,13,809,828,1,0,0,,19,0,0,0,0,50,48,SSW,7,0,71,87,WNW,6,0
2015,1,7,3,AS,108,N471AS,ANC,SEA,45,43,-2,15,58,204,194,174,1448,452,5,509,457,0,0,0,,,,,,,11,70,ENE,5,0,45,93,N,5,0
2015,1,7,3,DL,1450,N924DN,LAS,MSP,45,30,-15,24,54,185,190,162,1299,536,4,550,540,0,0,0,,,,,,,39,93,WSW,10,0,-8,59,NW,14,0
2015,1,7,3,DL,1646,N803DN,PHX,ATL,45,44,-1,17,101,202,197,176,1587,557,4,607,601,0,0,0,,,,,,,55,49,CALM,0,0,32,69,NW,13,0
2015,1,7,3,AS,122,N530AS,ANC,PDX,50,38,-12,11,49,215,210,190,1542,459,9,525,508,0,0,0,,,,,,,11,70,ENE,5,0,35,100,CALM,0,0
2015,1,7,3,DL,2440,N6710E,SEA,MSP,55,58,3,12,110,191,168,153,1399,543,3,606,546,0,0,0,,,,,,,45,97,CALM,0,0,-9,62,NW,15,0
2015,1,7,3,NK,214,N623NK,LAS,DFW,58,57,-1,13,110,147,157,135,1055,525,9,525,534,0,0,0,,,,,,,50,48,SSW,7,0,34,61,N,20,0
2015,1,7,3,US,1772,N912UY,LAS,CLT,59,56,-3,16,112,243,232,210,1916,742,6,802,748,0,0,0,,,,,,,50,48,SSW,7,0,36,52,WSW,3,0
