YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,DEPART_TEMP,DEPART_HUMIDITY,DEPART_WINDIR,DEPART_WIND,DEPART_PRECIP,ARRIVAL_TEMP,ARRIVAL_HUMIDITY,ARRIVAL_WINDIR,ARRIVAL_WIND,ARRIVAL_PRECIP
2015,12,4,5,AA,1230,N3GSAA,SEA,DFW,5,2359.0,-6.0,14.0,13.0,230,233.0,205.0,1660,538.0,14.0,555,552.0,0.0,0,0,,,,,,,47.0,90.0,S,10.0,0.0,39.0,79.0,CALM,0.0,0.0
2015,12,4,5,DL,1426,N824DN,SFO,MSP,5,103.0,58.0,15.0,118.0,215,203.0,186.0,1589,624.0,2.0,540,626.0,1.0,0,0,,0.0,0.0,0.0,4.0,42.0,52.0,77.0,WSW,9.0,0.0,23.0,81.0,SE,5.0,0.0
2015,12,4,5,AA,2406,N850AA,LAX,DFW,10,14.0,4.0,23.0,37.0,171,172.0,143.0,1235,500.0,6.0,501,506.0,0.0,0,0,,,,,,,58.0,72.0,VAR,6.0,0.0,39.0,79.0,CALM,0.0,0.0
2015,12,4,5,UA,680,N61882,SFO,ORD,14,10.0,-4.0,16.0,26.0,258,254.0,227.0,1846,613.0,11.0,632,624.0,0.0,0,0,,,,,,,52.0,77.0,WSW,9.0,0.0,32.0,96.0,SW,9.0,0.0
2015,12,4,5,AA,883,N153UW,SFO,CLT,15,15.0,0.0,15.0,30.0,290,293.0,261.0,2296,751.0,17.0,805,808.0,0.0,0,0,,,,,,,52.0,77.0,WSW,9.0,0.0,40.0,60.0,VAR,5.0,0.0
2015,12,4,5,AA,2020,N543UW,PHX,CLT,15,13.0,-2.0,15.0,28.0,226,225.0,204.0,1773,552.0,6.0,601,558.0,0.0,0,0,,,,,,,53.0,34.0,E,6.0,0.0,31.0,76.0,NNE,6.0,0.0
2015,12,4,5,F9,1456,N208FR,LAS,ATL,20,7.0,-13.0,13.0,20.0,225,214.0,191.0,1747,631.0,10.0,705,641.0,0.0,0,0,,,,,,,46.0,76.0,SSW,9.0,0.0,39.0,65.0,ENE,12.0,0.0
2015,12,4,5,NK,298,N627NK,LAS,IAH,25,17.0,-8.0,10.0,27.0,160,163.0,142.0,1222,449.0,11.0,505,500.0,0.0,0,0,,,,,,,46.0,29.0,S,5.0,0.0,39.0,96.0,NNE,3.0,0.0
2015,12,4,5,DL,1969,N695DL,PHX,ATL,25,24.0,-1.0,13.0,37.0,207,193.0,173.0,1587,530.0,7.0,552,537.0,0.0,0,0,,,,,,,53.0,34.0,E,6.0,0.0,39.0,70.0,ENE,10.0,0.0
2015,12,4,5,UA,910,N13248,LAX,ORD,27,22.0,-5.0,11.0,33.0,248,240.0,217.0,1744,610.0,12.0,635,622.0,0.0,0,0,,,,,,,58.0,72.0,VAR,6.0,0.0,32.0,96.0,SW,9.0,0.0
2015,12,4,5,AA,260,N3MUAA,LAX,MIA,30,30.0,0.0,17.0,47.0,293,283.0,257.0,2342,804.0,9.0,823,813.0,0.0,0,0,,,,,,,58.0,72.0,VAR,6.0,0.0,70.0,100.0,ESE,5.0,0.1
2015,12,4,5,AA,1645,N3EWAA,SFO,MIA,30,100.0,30.0,13.0,113.0,320,312.0,286.0,2585,859.0,13.0,850,912.0,1.0,0,0,,0.0,0.0,0.0,22.0,0.0,52.0,77.0,WSW,9.0,0.0,70.0,100.0,ESE,5.0,0.1
2015,12,4,5,UA,1200,N68880,SFO,IAH,40,38.0,-2.0,14.0,52.0,215,206.0,186.0,1635,558.0,6.0,615,604.0,0.0,0,0,,,,,,,52.0,77.0,WSW,9.0,0.0,39.0,93.0,NNE,5.0,0.0
2015,12,4,5,UA,1425,N64844,LAS,IAH,41,45.0,4.0,21.0,106.0,172,168.0,138.0,1222,524.0,9.0,533,533.0,0.0,0,0,,,,,,,46.0,29.0,S,5.0,0.0,48.0,87.0,CALM,0.0,0.0
2015,12,4,5,F9,1138,N905FR,LAS,AUS,45,39.0,-6.0,17.0,56.0,150,150.0,124.0,1090,500.0,9.0,515,509.0,0.0,0,0,,,,,,,46.0,76.0,SSW,9.0,0.0,34.0,92.0,CALM,0.0,0.0
2015,12,4,5,F9,1270,N210FR,LAX,ORD,45,42.0,-3.0,15.0,57.0,245,278.0,212.0,1744,629.0,51.0,650,720.0,1.0,0,0,,30.0,0.0,0.0,0.0,0.0,58.0,72.0,VAR,6.0,0.0,41.0,80.0,SSW,10.0,0.0
2015,12,4,5,AS,108,N467AS,ANC,SEA,45,39.0,-6.0,32.0,111.0,201,213.0,176.0,1448,507.0,5.0,506,512.0,0.0,0,0,,,,,,,27.0,86.0,S,5.0,0.0,43.0,89.0,S,9.0,0.0
2015,12,4,5,DL,822,N3765,ANC,SEA,45,38.0,-7.0,30.0,108.0,208,209.0,176.0,1448,504.0,3.0,513,507.0,0.0,0,0,,,,,,,27.0,86.0,S,5.0,0.0,43.0,89.0,S,9.0,0.0
2015,12,4,5,DL,1906,N545US,LAX,MSP,45,120.0,35.0,10.0,130.0,215,196.0,181.0,1535,631.0,5.0,620,636.0,1.0,0,0,,0.0,0.0,16.0,0.0,0.0,58.0,72.0,VAR,6.0,0.0,22.0,85.0,ESE,6.0,0.0
2015,12,4,5,DL,1450,N684DA,LAS,MSP,45,36.0,-9.0,16.0,52.0,184,172.0,152.0,1299,524.0,4.0,549,528.0,0.0,0,0,,,,,,,46.0,76.0,SSW,9.0,0.0,23.0,81.0,SE,5.0,0.0
2015,12,4,5,DL,2440,N809DN,SEA,MSP,45,43.0,-2.0,14.0,57.0,189,194.0,175.0,1399,552.0,5.0,554,557.0,0.0,0,0,,,,,,,47.0,90.0,S,10.0,0.0,23.0,81.0,SE,5.0,0.0
2015,12,4,5,AA,1982,N157UW,LAX,CLT,50,52.0,2.0,21.0,113.0,280,271.0,238.0,2125,811.0,12.0,830,823.0,0.0,0,0,,,,,,,58.0,72.0,VAR,6.0,0.0,40.0,60.0,VAR,5.0,0.0
2015,12,4,5,UA,514,N444UA,PHX,ORD,54,53.0,-1.0,9.0,102.0,205,190.0,176.0,1440,458.0,5.0,519,503.0,0.0,0,0,,,,,,,53.0,34.0,E,6.0,0.0,32.0,96.0,WSW,7.0,0.0
2015,12,4,5,NK,612,N628NK,LAS,MSP,55,108.0,13.0,11.0,119.0,177,170.0,154.0,1299,553.0,5.0,552,558.0,0.0,0,0,,,,,,,46.0,29.0,S,5.0,0.0,23.0,81.0,SE,5.0,0.0
2015,12,4,5,AA,1113,N3KVAA,LAX,ORD,55,55.0,0.0,15.0,110.0,250,246.0,217.0,1744,647.0,14.0,705,701.0,0.0,0,0,,,,,,,58.0,72.0,VAR,6.0,0.0,23.0,81.0,SE,5.0,0.0
2015,12,4,5,AA,2399,N857AA,LAX,DFW,55,50.0,-5.0,15.0,105.0,171,164.0,143.0,1235,528.0,6.0,546,534.0,0.0,0,0,,,,,,,58.0,72.0,VAR,6.0,0.0,39.0,79.0,CALM,0.0,0.0
2015,12,4,5,AS,134,N508AS,ANC,PDX,55,49.0,-6.0,44.0,133.0,214,236.0,185.0,1542,538.0,7.0,529,545.0,1.0,0,0,,16.0,0.0,0.0,0.0,0.0,27.0,86.0,S,5.0,0.0,45.0,93.0,SSE,7.0,0.0
2015,12,4,5,DL,2324,N689DL,SLC,ATL,55,51.0,-4.0,14.0,105.0,211,205.0,180.0,1590,605.0,11.0,626,616.0,0.0,0,0,,,,,,,28.0,75.0,SSW,6.0,0.0,39.0,67.0,ENE,10.0,0.0
2015,12,4,5,UA,1614,N404UA,LAX,IAH,58,54.0,-4.0,17.0,111.0,187,176.0,154.0,1379,545.0,5.0,605,550.0,0.0,0,0,,,,,,,58.0,72.0,VAR,6.0,0.0,39.0,93.0,NNE,5.0,0.0
2015,12,4,5,AA,185,N879AA,LAS,DFW,59,57.0,-2.0,14.0,111.0,164,140.0,122.0,1055,513.0,4.0,543,517.0,0.0,0,0,,,,,,,46.0,29.0,S,5.0,0.0,39.0,79.0,CALM,0.0,0.0
2015,12,4,5,AA,1051,N882AA,SFO,DFW,59,118.0,19.0,15.0,133.0,196,188.0,167.0,1464,620.0,6.0,615,626.0,0.0,0,0,,,,,,,52.0,77.0,WSW,9.0,0.0,40.0,83.0,CALM,0.0,0.0
2015,12,4,5,NK,520,N503NK,LAS,MCI,101,52.0,-9.0,10.0,102.0,152,148.0,133.0,1139,515.0,5.0,533,520.0,0.0,0,0,,,,,,,46.0,76.0,SSW,12.0,0.0,26.0,88.0,S,9.0,0.0
2015,12,4,5,NK,597,N612NK,MSP,FLL,115,116.0,1.0,22.0,138.0,206,214.0,183.0,1487,541.0,9.0,541,550.0,0.0,0,0,,,,,,,27.0,78.0,SSW,5.0,0.0,67.0,97.0,NNE,5.0,0.2
2015,12,4,5,AS,128,N474AS,FAI,SEA,115,109.0,-6.0,20.0,129.0,215,213.0,189.0,1533,538.0,4.0,550,542.0,0.0,0,0,,,,,,,27.0,78.0,SSW,5.0,0.0,43.0,89.0,S,9.0,0.0
2015,12,4,5,VX,762,N523VA,LAS,DAL,130,121.0,-9.0,13.0,134.0,160,140.0,121.0,1067,535.0,6.0,610,541.0,0.0,0,0,,,,,,,44.0,34.0,W,3.0,0.0,38.0,89.0,E,5.0,0.0
2015,12,4,5,AA,1980,N156UW,DEN,CLT,130,128.0,-2.0,11.0,139.0,187,181.0,166.0,1337,625.0,4.0,637,629.0,0.0,0,0,,,,,,,29.0,67.0,S,8.0,0.0,31.0,76.0,NNE,6.0,0.0
2015,12,4,5,NK,168,N602NK,PHX,ORD,131,131.0,0.0,12.0,143.0,199,195.0,174.0,1440,537.0,9.0,550,546.0,0.0,0,0,,,,,,,52.0,35.0,E,7.0,0.0,32.0,96.0,WSW,7.0,0.0
2015,12,4,5,AS,136,N453AS,ANC,SEA,145,141.0,-4.0,20.0,201.0,199,206.0,174.0,1448,555.0,12.0,604,607.0,0.0,0,0,,,,,,,27.0,89.0,CALM,0.0,0.0,44.0,85.0,S,14.0,0.0
2015,12,4,5,HA,17,N380HA,LAS,HNL,150,145.0,-5.0,13.0,158.0,390,413.0,394.0,2762,632.0,6.0,620,638.0,1.0,0,0,,0.0,0.0,18.0,0.0,0.0,44.0,34.0,W,3.0,0.0,76.0,69.0,NE,7.0,0.0
2015,12,4,5,NK,214,N621NK,LAS,DFW,150,142.0,-8.0,8.0,150.0,146,151.0,122.0,1055,552.0,21.0,616,613.0,0.0,0,0,,,,,,,44.0,34.0,W,3.0,0.0,40.0,83.0,CALM,0.0,0.0
2015,12,4,5,AA,1738,N177US,PHX,DFW,150,149.0,-1.0,14.0,203.0,134,131.0,106.0,868,449.0,11.0,504,500.0,0.0,0,0,,,,,,,52.0,35.0,E,7.0,0.0,39.0,79.0,CALM,0.0,0.0
2015,12,4,5,UA,1803,N34455,SJU,EWR,153,153.0,0.0,9.0,202.0,260,229.0,212.0,1608,434.0,8.0,513,442.0,0.0,0,0,,,,,,,78.0,81.0,SSE,3.0,0.0,42.0,70.0,W,8.0,0.0
