YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,DEPART_TEMP,DEPART_HUMIDITY,DEPART_WINDIR,DEPART_WIND,DEPART_PRECIP,ARRIVAL_TEMP,ARRIVAL_HUMIDITY,ARRIVAL_WINDIR,ARRIVAL_WIND,ARRIVAL_PRECIP
2015,2,12,4,AA,2400,N5ECAA,LAX,DFW,5,2400.0,-5.0,15.0,15.0,168,178.0,160.0,1235,455.0,3.0,453,458.0,0.0,0,0,,,,,,,66.0,23.0,NNE,5.0,0.0,39.0,62.0,N,13.0,0.0
2015,2,12,4,AS,98,N402AS,ANC,SEA,5,21.0,16.0,16.0,37.0,202,200.0,180.0,1448,437.0,4.0,427,441.0,0.0,0,0,,,,,,,29.0,69.0,NNE,3.0,0.0,49.0,93.0,CALM,0.0,0.0
2015,2,12,4,US,2020,N524UW,PHX,CLT,15,20.0,5.0,19.0,39.0,225,235.0,207.0,1773,606.0,9.0,600,615.0,1.0,0,0,,10.0,0.0,5.0,0.0,0.0,69.0,23.0,NE,13.0,0.0,34.0,85.0,NNW,3.0,0.0
2015,2,12,4,AA,258,N3GUAA,LAX,MIA,20,13.0,-7.0,18.0,31.0,284,301.0,274.0,2342,805.0,9.0,804,814.0,0.0,0,0,,,,,,,66.0,23.0,NNE,5.0,0.0,66.0,54.0,VAR,5.0,0.0
2015,2,12,4,NK,612,N633NK,LAS,MSP,20,4.0,-16.0,11.0,15.0,177,197.0,180.0,1299,515.0,6.0,517,521.0,0.0,0,0,,,,,,,54.0,31.0,SW,8.0,0.0,-2.0,69.0,NNW,9.0,0.0
2015,2,12,4,AA,1234,N3LNAA,LAS,ORD,27,18.0,-9.0,29.0,47.0,203,247.0,194.0,1514,601.0,24.0,550,625.0,1.0,0,0,,35.0,0.0,0.0,0.0,0.0,54.0,31.0,SW,8.0,0.0,11.0,61.0,NNW,18.0,0.0
2015,2,12,4,AA,1112,N3EJAA,SFO,DFW,30,27.0,-3.0,18.0,45.0,189,212.0,189.0,1464,554.0,5.0,539,559.0,1.0,0,0,,20.0,0.0,0.0,0.0,0.0,57.0,89.0,CALM,0.0,0.0,38.0,62.0,N,13.0,0.0
2015,2,12,4,US,448,N534UW,SLC,CLT,30,29.0,-1.0,12.0,41.0,225,216.0,200.0,1727,601.0,4.0,615,605.0,0.0,0,0,,,,,,,39.0,67.0,SE,6.0,0.0,34.0,85.0,NNW,3.0,0.0
2015,2,12,4,US,1866,N188US,LAX,CLT,35,28.0,-7.0,21.0,49.0,269,305.0,268.0,2125,817.0,16.0,804,833.0,1.0,0,0,,29.0,0.0,0.0,0.0,0.0,66.0,23.0,NNE,5.0,0.0,45.0,60.0,NNW,3.0,0.0
2015,2,12,4,US,677,N584UW,LAS,PHL,35,22.0,-13.0,13.0,35.0,268,277.0,259.0,2176,754.0,5.0,803,759.0,0.0,0,0,,,,,,,54.0,31.0,SW,8.0,0.0,33.0,78.0,SW,7.0,0.0
2015,2,12,4,UA,739,N421UA,LAS,IAH,38,33.0,-5.0,17.0,50.0,164,171.0,149.0,1222,519.0,5.0,522,524.0,0.0,0,0,,,,,,,54.0,31.0,SW,8.0,0.0,52.0,77.0,N,13.0,0.0
2015,2,12,4,AA,1674,N3GBAA,LAS,MIA,45,38.0,-7.0,17.0,55.0,264,286.0,262.0,2174,817.0,7.0,809,824.0,1.0,0,0,,15.0,0.0,0.0,0.0,0.0,54.0,31.0,SW,8.0,0.0,66.0,54.0,VAR,5.0,0.0
2015,2,12,4,AS,108,N467AS,ANC,SEA,45,41.0,-4.0,7.0,48.0,200,186.0,175.0,1448,443.0,4.0,505,447.0,0.0,0,0,,,,,,,29.0,69.0,NNE,3.0,0.0,49.0,93.0,SSE,6.0,0.0
2015,2,12,4,DL,1450,N589NW,LAS,MSP,45,38.0,-7.0,19.0,57.0,182,202.0,178.0,1299,555.0,5.0,547,600.0,0.0,0,0,,,,,,,54.0,31.0,SW,8.0,0.0,-2.0,69.0,NNW,9.0,0.0
