YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,DEPART_TEMP,DEPART_HUMIDITY,DEPART_WINDIR,DEPART_WIND,DEPART_PRECIP,ARRIVAL_TEMP,ARRIVAL_HUMIDITY,ARRIVAL_WINDIR,ARRIVAL_WIND,ARRIVAL_PRECIP
2015,1,7,3,AA,2400,N3ETAA,LAX,DFW,5,5.0,0.0,13.0,18.0,169,169.0,152.0,1235,450.0,4.0,454,454.0,0.0,0,0,,,,,,,63.0,30.0,ENE,6.0,0.0,34.0,70.0,N,12.0,0.0
2015,1,7,3,US,2020,N561UW,PHX,CLT,15,10.0,-5.0,13.0,23.0,225,215.0,196.0,1773,539.0,6.0,600,545.0,0.0,0,0,,,,,,,55.0,49.0,CALM,0.0,0.0,29.0,78.0,CALM,0.0,0.0
2015,1,7,3,F9,1298,N924FR,PHX,CVG,15,2359.0,-16.0,14.0,13.0,205,209.0,187.0,1569,520.0,8.0,540,528.0,0.0,0,0,,,,,,,55.0,49.0,CALM,0.0,0.0,16.0,68.0,WNW,20.0,0.0
2015,1,7,3,AA,258,N3JRAA,LAX,MIA,20,20.0,0.0,25.0,45.0,284,314.0,277.0,2342,822.0,12.0,804,834.0,1.0,0,0,,30.0,0.0,0.0,0.0,0.0,63.0,30.0,ENE,6.0,0.0,71.0,87.0,WNW,6.0,0.0
2015,1,7,3,AS,135,N403AS,SEA,ANC,25,30.0,5.0,13.0,43.0,235,200.0,183.0,1448,246.0,4.0,320,250.0,0.0,0,0,,,,,,,45.0,97.0,CALM,0.0,0.0,11.0,70.0,E,6.0,0.0
2015,1,7,3,NK,612,N635NK,LAS,MSP,25,158.0,93.0,12.0,210.0,181,182.0,164.0,1299,654.0,6.0,526,700.0,1.0,0,0,,94.0,0.0,0.0,0.0,0.0,39.0,93.0,WSW,10.0,0.0,-8.0,59.0,NW,14.0,0.0
2015,1,7,3,US,448,N163US,SLC,CLT,30,33.0,3.0,51.0,124.0,225,233.0,176.0,1727,620.0,6.0,615,626.0,0.0,0,0,,,,,,,31.0,85.0,CALM,0.0,0.0,29.0,78.0,CALM,0.0,0.0
2015,1,7,3,AA,1112,N3DWAA,SFO,DFW,30,39.0,9.0,12.0,51.0,189,200.0,183.0,1464,554.0,5.0,539,559.0,1.0,0,0,,11.0,0.0,0.0,9.0,0.0,49.0,77.0,CALM,0.0,0.0,34.0,61.0,N,20.0,0.0
2015,1,7,3,US,1866,N545UW,LAX,CLT,35,37.0,2.0,20.0,57.0,269,277.0,245.0,2125,802.0,12.0,804,814.0,0.0,0,0,,,,,,,63.0,30.0,ENE,6.0,0.0,36.0,52.0,WSW,3.0,0.0
2015,1,7,3,UA,1012,N63820,LAS,IAH,45,53.0,8.0,19.0,112.0,165,168.0,143.0,1222,535.0,6.0,530,541.0,0.0,0,0,,,,,,,50.0,48.0,SSW,7.0,0.0,46.0,93.0,CALM,0.0,0.0
