YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,DEPART_TEMP,DEPART_HUMIDITY,DEPART_WINDIR,DEPART_WIND,DEPART_PRECIP,ARRIVAL_TEMP,ARRIVAL_HUMIDITY,ARRIVAL_WINDIR,ARRIVAL_WIND,ARRIVAL_PRECIP
2015,2,4,3,AA,2400,N3BDAA,LAX,DFW,5,2354,-11,14,8,169,170,151,1235,439,5,454,444,0,0,0,,,,,,,55,94,CALM,0,0,40,89,S,9,0
2015,2,4,3,US,2020,N154UW,PHX,CLT,15,11,-4,11,22,225,209,194,1773,536,4,600,540,0,0,0,,,,,,,58,72,ESE,5,0,31,64,S,3,0
2015,2,4,3,AA,258,N3ACAA,LAX,MIA,20,13,-7,18,31,284,293,266,2342,757,9,804,806,0,0,0,,,,,,,55,94,CALM,0,0,72,61,E,12,0
2015,2,4,3,NK,612,N636NK,LAS,MSP,25,147,82,11,158,181,177,161,1299,639,5,526,644,1,0,0,,78,0,0,0,0,52,59,SW,7,0,10,84,NW,8,0
2015,2,4,3,AA,1112,N3EVAA,SFO,DFW,30,26,-4,16,42,189,198,177,1464,539,5,539,544,0,0,0,,,,,,,56,97,CALM,0,0,40,93,S,10,0
2015,2,4,3,DL,1957,N553NW,LAX,MSP,30,21,-9,22,43,217,222,196,1535,559,4,607,603,0,0,0,,,,,,,55,94,CALM,0,0,10,84,NW,9,0
2015,2,4,3,US,448,N172US,SLC,CLT,30,25,-5,14,39,225,207,185,1727,544,8,615,552,0,0,0,,,,,,,52,57,NNW,9,0,31,64,S,3,0
2015,2,4,3,US,1866,N568UW,LAX,CLT,35,27,-8,18,45,269,280,246,2125,751,16,804,807,0,0,0,,,,,,,55,94,CALM,0,0,34,70,S,5,0
2015,2,4,3,DL,1434,N126DL,LAX,MSP,44,36,-8,20,56,218,212,188,1535,604,4,622,608,0,0,0,,,,,,,55,94,CALM,0,0,10,84,NW,9,0
2015,2,4,3,AA,1674,N3CSAA,LAS,MIA,45,37,-8,16,53,264,267,247,2174,800,4,809,804,0,0,0,,,,,,,,,,,,72,61,E,12,0
2015,2,4,3,AS,108,N469AS,ANC,SEA,45,43,-2,20,103,204,200,176,1448,459,4,509,503,0,0,0,,,,,,,10,85,CALM,0,0,73,100,VAR,2,0
2015,2,4,3,DL,1450,N829DN,LAS,MSP,45,31,-14,14,45,185,178,161,1299,526,3,550,529,0,0,0,,,,,,,52,59,SW,7,0,10,84,NW,8,0
2015,2,4,3,DL,1646,N820DN,PHX,ATL,45,39,-6,15,54,202,201,180,1587,554,6,607,600,0,0,0,,,,,,,58,72,ESE,5,0,-22,70,CALM,0,0
2015,2,4,3,UA,1200,N69835,SFO,IAH,45,43,-2,13,56,212,231,201,1635,617,17,617,634,1,0,0,,17,0,0,0,0,56,97,CALM,0,0,43,93,NNW,6,0
2015,2,4,3,UA,1407,N64809,LAX,IAH,45,115,30,11,126,188,181,163,1379,609,7,553,616,1,0,0,,0,0,8,15,0,55,94,CALM,0,0,43,93,NNE,3,0
2015,2,4,3,UA,1500,N69813,LAS,IAH,45,48,3,16,104,165,170,147,1222,531,7,530,538,0,0,0,,,,,,,52,59,SW,7,0,43,93,NNE,3,0
2015,2,4,3,AS,122,N530AS,ANC,PDX,50,50,0,24,114,214,214,185,1542,519,5,524,524,0,0,0,,,,,,,10,85,CALM,0,0,45,100,NW,3,0
