YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,DEPART_TEMP,DEPART_HUMIDITY,DEPART_WINDIR,DEPART_WIND,DEPART_PRECIP,ARRIVAL_TEMP,ARRIVAL_HUMIDITY,ARRIVAL_WINDIR,ARRIVAL_WIND,ARRIVAL_PRECIP
2015,3,4,3,AA,2400,N5FCAA,LAX,DFW,5,2358.0,-7.0,21.0,19.0,168,164.0,138.0,1235,437.0,5.0,453,442.0,0.0,0,0,,,,,,,53.0,74.0,NNE,7.0,0.0,50.0,100.0,N,7.0,0.0
2015,3,4,3,DL,806,N553NW,SFO,MSP,15,10.0,-5.0,13.0,23.0,212,203.0,185.0,1589,528.0,5.0,547,533.0,0.0,0,0,,,,,,,50.0,80.0,WSW,3.0,0.0,0.0,66.0,W,9.0,0.0
2015,3,4,3,US,2020,N194UW,PHX,CLT,15,12.0,-3.0,15.0,27.0,225,204.0,179.0,1773,526.0,10.0,600,536.0,0.0,0,0,,,,,,,51.0,80.0,SW,5.0,0.0,46.0,93.0,S,9.0,0.0
2015,3,4,3,F9,1298,N947FR,PHX,CVG,15,255.0,160.0,12.0,307.0,205,176.0,160.0,1569,747.0,4.0,540,751.0,1.0,0,0,,16.0,0.0,2.0,113.0,0.0,51.0,80.0,SW,5.0,0.0,37.0,93.0,CALM,0.0,0.0
2015,3,4,3,AA,258,N3GHAA,LAX,MIA,20,12.0,-8.0,22.0,34.0,284,281.0,255.0,2342,749.0,4.0,804,753.0,0.0,0,0,,,,,,,53.0,74.0,NNE,7.0,0.0,79.0,15.0,E,15.0,0.0
2015,3,4,3,DL,1214,N523US,DEN,ATL,20,15.0,-5.0,46.0,101.0,166,182.0,126.0,1199,507.0,10.0,506,517.0,0.0,0,0,,,,,,,14.0,92.0,NNE,13.0,0.0,54.0,94.0,SSW,7.0,0.0
2015,3,4,3,NK,612,N631NK,LAS,MSP,20,42.0,22.0,12.0,54.0,177,160.0,143.0,1299,517.0,5.0,517,522.0,0.0,0,0,,,,,,,47.0,30.0,N,12.0,0.0,0.0,66.0,W,9.0,0.0
2015,3,4,3,AA,1234,N3MBAA,LAS,ORD,27,41.0,14.0,16.0,57.0,203,188.0,165.0,1514,542.0,7.0,550,549.0,0.0,0,0,,,,,,,47.0,30.0,N,12.0,0.0,18.0,78.0,WNW,14.0,0.0
2015,3,4,3,AA,1112,N3GKAA,SFO,DFW,30,19.0,-11.0,12.0,31.0,189,190.0,173.0,1464,524.0,5.0,539,529.0,0.0,0,0,,,,,,,50.0,80.0,WSW,3.0,0.0,50.0,100.0,N,9.0,0.0
2015,3,4,3,DL,1627,N623DL,LAS,ATL,30,31.0,1.0,17.0,48.0,223,219.0,179.0,1747,647.0,23.0,713,710.0,0.0,0,0,,,,,,,47.0,30.0,N,12.0,0.0,58.0,97.0,SSW,7.0,0.0
2015,3,4,3,US,448,N153UW,SLC,CLT,30,20.0,-10.0,17.0,37.0,225,209.0,184.0,1727,541.0,8.0,615,549.0,0.0,0,0,,,,,,,29.0,75.0,SE,6.0,0.0,46.0,93.0,S,9.0,0.0
2015,3,4,3,DL,2230,N585NW,PHX,DTW,35,41.0,6.0,19.0,100.0,216,195.0,167.0,1671,547.0,9.0,611,556.0,0.0,0,0,,,,,,,51.0,80.0,SW,5.0,0.0,31.0,72.0,WSW,6.0,0.0
2015,3,4,3,US,677,N553UW,LAS,PHL,35,27.0,-8.0,14.0,41.0,268,239.0,219.0,2176,720.0,6.0,803,726.0,0.0,0,0,,,,,,,47.0,30.0,N,12.0,0.0,37.0,93.0,WSW,10.0,0.0
2015,3,4,3,UA,1432,N35260,LAS,IAH,38,31.0,-7.0,13.0,44.0,165,167.0,147.0,1222,511.0,7.0,523,518.0,0.0,0,0,,,,,,,47.0,30.0,N,12.0,0.0,70.0,90.0,SSE,7.0,0.0
2015,3,4,3,DL,2440,N532US,SEA,MSP,40,37.0,-3.0,16.0,53.0,189,186.0,166.0,1399,539.0,4.0,549,543.0,0.0,0,0,,,,,,,36.0,57.0,SE,5.0,0.0,0.0,66.0,W,9.0,0.0
2015,3,4,3,AA,1674,N3ANAA,LAS,MIA,45,50.0,5.0,17.0,107.0,264,260.0,238.0,2174,805.0,5.0,809,810.0,0.0,0,0,,,,,,,47.0,30.0,N,12.0,0.0,78.0,66.0,ESE,14.0,0.0
2015,3,4,3,AS,108,N464AS,ANC,SEA,45,33.0,-12.0,17.0,50.0,200,196.0,168.0,1448,438.0,11.0,505,449.0,0.0,0,0,,,,,,,34.0,85.0,CALM,0.0,0.0,31.0,67.0,CALM,0.0,0.0
2015,3,4,3,DL,2020,N396DA,LAX,MEM,45,48.0,3.0,17.0,105.0,216,199.0,175.0,1619,600.0,7.0,621,607.0,0.0,0,0,,,,,,,53.0,74.0,NNE,7.0,0.0,55.0,93.0,NW,6.0,0.0
2015,3,4,3,DL,1471,N813DN,LAX,ATL,45,108.0,23.0,17.0,125.0,250,239.0,217.0,1947,802.0,5.0,755,807.0,0.0,0,0,,,,,,,53.0,74.0,NNE,7.0,0.0,58.0,97.0,SSW,7.0,0.0
