YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,DEPART_TEMP,DEPART_HUMIDITY,DEPART_WINDIR,DEPART_WIND,DEPART_PRECIP,ARRIVAL_TEMP,ARRIVAL_HUMIDITY,ARRIVAL_WINDIR,ARRIVAL_WIND,ARRIVAL_PRECIP
2015,12,14,1,AS,690,N713AS,SEA,GEG,800,800,0,20,820,63,65.0,42.0,224,902.0,3.0,903,905.0,0.0,0,0,,,,,,,86.0,84.0,SW,5.0,0.0,34.0,89.0,W,5.0,0.0
2015,12,14,1,AS,720,N528AS,SLC,SAN,800,1054,174,83,1217,122,178.0,93.0,626,1250.0,2.0,902,1252.0,1.0,0,0,,56.0,0.0,0.0,0.0,174.0,29.0,96.0,W,17.0,0.0,57.0,42.0,NE,8.0,0.0
2015,12,14,1,B6,113,N595JB,HPN,FLL,800,806,6,19,825,180,193.0,149.0,1097,1054.0,25.0,1100,1119.0,1.0,0,0,,13.0,0.0,6.0,0.0,0.0,50.0,100.0,E,3.0,0.0,82.0,74.0,SSE,16.0,0.0
2015,12,14,1,B6,1289,N612JB,EWR,SJU,800,800,0,29,829,229,234.0,198.0,1608,1247.0,7.0,1249,1254.0,0.0,0,0,,,,,,,53.0,100.0,NE,3.0,0.0,86.0,59.0,ESE,12.0,0.0
2015,12,14,1,B6,434,N659JB,SFO,BOS,800,752,-8,10,802,330,312.0,294.0,2704,1556.0,8.0,1630,1604.0,0.0,0,0,,,,,,,48.0,56.0,NNW,8.0,0.0,48.0,93.0,NE,3.0,0.0
2015,12,14,1,B6,677,N708JB,JFK,JAX,800,756,-4,54,850,154,185.0,127.0,828,1057.0,4.0,1034,1101.0,1.0,0,0,,27.0,0.0,0.0,0.0,0.0,55.0,94.0,CALM,0.0,0.0,74.0,85.0,S,12.0,0.0
2015,12,14,1,B6,219,N216JB,JFK,CLT,800,758,-2,62,900,121,163.0,98.0,541,1038.0,3.0,1001,1041.0,1.0,0,0,,40.0,0.0,0.0,0.0,0.0,55.0,94.0,CALM,0.0,0.0,66.0,83.0,SSE,16.0,0.0
2015,12,14,1,B6,1236,N306JB,SJU,STT,800,756,-4,11,807,32,30.0,16.0,68,823.0,3.0,832,826.0,0.0,0,0,,,,,,,79.0,77.0,ESE,7.0,0.0,80.0,76.0,E,16.0,0.0
2015,12,14,1,B6,389,N316JB,BOS,DCA,800,750,-10,21,811,102,127.0,102.0,399,953.0,4.0,942,957.0,1.0,0,0,,15.0,0.0,0.0,0.0,0.0,47.0,86.0,ESE,3.0,0.0,58.0,97.0,S,10.0,0.0
2015,12,14,1,B6,885,N318JB,JFK,RDU,800,757,-3,52,849,106,130.0,74.0,427,1003.0,4.0,946,1007.0,1.0,0,0,,21.0,0.0,0.0,0.0,0.0,55.0,94.0,CALM,0.0,0.0,67.0,81.0,S,10.0,0.0
2015,12,14,1,B6,411,N580JB,JFK,LAS,800,758,-2,50,848,353,362.0,304.0,2248,1052.0,8.0,1053,1100.0,0.0,0,0,,,,,,,55.0,94.0,CALM,0.0,0.0,45.0,93.0,VAR,2.0,0.0
2015,12,14,1,AA,2381,N871AA,LAX,MCO,800,803,3,18,821,285,270.0,245.0,2218,1526.0,7.0,1545,1533.0,0.0,0,0,,,,,,,54.0,41.0,WNW,10.0,0.0,80.0,62.0,S,13.0,0.0
2015,12,14,1,DL,867,N6714Q,RSW,ATL,800,751,-9,15,806,110,105.0,78.0,515,924.0,12.0,950,936.0,0.0,0,0,,,,,,,72.0,97.0,SSE,10.0,0.0,10.0,80.0,SE,6.0,0.0
2015,12,14,1,DL,1106,N848DN,SFO,MSP,800,759,-1,24,823,221,230.0,201.0,1589,1344.0,5.0,1341,1349.0,0.0,0,0,,,,,,,48.0,56.0,NNW,8.0,0.0,35.0,82.0,N,17.0,0.0
2015,12,14,1,DL,1324,N979DL,BNA,ATL,800,757,-3,15,812,75,71.0,48.0,214,1000.0,8.0,1015,1008.0,0.0,0,0,,,,,,,57.0,74.0,S,16.0,0.0,61.0,90.0,W,14.0,0.0
2015,12,14,1,DL,1379,N969DL,BHM,ATL,800,803,3,16,819,71,79.0,49.0,134,1008.0,14.0,1011,1022.0,0.0,0,0,,,,,,,56.0,90.0,SSW,7.0,0.0,61.0,90.0,W,14.0,0.0
2015,12,14,1,DL,326,N3756,SJU,JFK,800,758,-2,17,815,239,247.0,224.0,1598,1059.0,6.0,1059,1105.0,0.0,0,0,,,,,,,79.0,77.0,ESE,7.0,0.0,55.0,100.0,SE,7.0,0.0
2015,12,14,1,DL,508,N949DL,ECP,ATL,800,756,-4,14,810,72,71.0,47.0,240,957.0,10.0,1012,1007.0,0.0,0,0,,,,,,,68.0,93.0,W,12.0,0.1,61.0,90.0,W,14.0,0.0
2015,12,14,1,DL,1765,N941DN,TPA,MSP,800,812,12,27,839,207,216.0,179.0,1306,1038.0,10.0,1027,1048.0,1.0,0,0,,21.0,0.0,0.0,0.0,0.0,74.0,91.0,S,12.0,0.0,34.0,89.0,N,20.0,0.1
2015,12,14,1,DL,2185,N389DA,FLL,JFK,800,755,-5,13,808,169,153.0,134.0,1069,1022.0,6.0,1049,1028.0,0.0,0,0,,,,,,,80.0,79.0,SSE,14.0,0.0,55.0,100.0,SE,7.0,0.0
2015,12,14,1,DL,2226,N618DL,ATL,FLL,800,758,-2,22,820,107,120.0,87.0,581,947.0,11.0,947,958.0,0.0,0,0,,,,,,,68.0,87.0,S,12.0,0.0,80.0,76.0,SSE,13.0,0.0
2015,12,14,1,DL,2358,N979AT,PBI,LGA,800,1048,168,20,1108,171,159.0,134.0,1035,1322.0,5.0,1051,1327.0,1.0,0,0,,156.0,0.0,0.0,0.0,0.0,78.0,79.0,SSE,16.0,0.0,52.0,100.0,NE,5.0,0.0
2015,12,14,1,DL,1456,N922DX,BDL,MSP,800,809,9,32,841,189,205.0,158.0,1050,1019.0,15.0,1009,1034.0,1.0,0,0,,16.0,0.0,0.0,0.0,9.0,47.0,97.0,SSE,5.0,0.0,34.0,89.0,N,20.0,0.1
2015,12,14,1,DL,1526,N803DN,MCO,LGA,800,758,-2,25,823,153,148.0,115.0,950,1018.0,8.0,1033,1026.0,0.0,0,0,,,,,,,72.0,93.0,S,9.0,0.0,52.0,100.0,NE,5.0,0.0
2015,12,14,1,DL,1616,N901DA,DEN,ATL,800,758,-2,14,812,184,170.0,149.0,1199,1241.0,7.0,1304,1248.0,0.0,0,0,,,,,,,26.0,78.0,W,8.0,0.0,63.0,90.0,SSW,14.0,0.0
2015,12,14,1,DL,2519,N3739P,FSD,MSP,800,1043,163,11,1054,70,62.0,41.0,196,1135.0,10.0,910,1145.0,1.0,0,0,,155.0,0.0,0.0,0.0,0.0,34.0,89.0,N,24.0,0.0,34.0,89.0,N,23.0,0.1
2015,12,14,1,DL,2594,N301NB,LGA,DEN,800,756,-4,32,828,282,277.0,220.0,1620,1008.0,25.0,1042,1033.0,0.0,0,0,,,,,,,51.0,96.0,NE,5.0,0.0,33.0,61.0,WNW,7.0,0.0
2015,12,14,1,DL,2755,N981AT,SFO,LAX,800,839,39,12,851,92,69.0,51.0,337,942.0,6.0,932,948.0,1.0,0,0,,0.0,0.0,16.0,0.0,0.0,48.0,56.0,NNW,8.0,0.0,55.0,37.0,W,13.0,0.0
2015,12,14,1,DL,2811,N974AT,JFK,TPA,800,756,-4,88,924,188,240.0,149.0,1005,1153.0,3.0,1108,1156.0,1.0,0,0,,48.0,0.0,0.0,0.0,0.0,55.0,94.0,CALM,0.0,0.0,78.0,81.0,S,12.0,0.0
2015,12,14,1,DL,2381,N972AT,GNV,ATL,800,757,-3,27,824,82,86.0,50.0,300,914.0,9.0,922,923.0,0.0,0,0,,,,,,,71.0,93.0,SSW,9.0,0.0,68.0,84.0,S,14.0,0.0
2015,12,14,1,DL,2412,N932DN,ORD,ATL,800,2128,808,10,2138,129,95.0,81.0,606,2359.0,4.0,1109,3.0,1.0,0,0,,0.0,0.0,774.0,0.0,0.0,53.0,89.0,SW,20.0,0.0,62.0,86.0,SW,13.0,0.0
2015,12,14,1,EV,2733,N905EV,MEI,DFW,801,747,-14,10,757,114,102.0,86.0,485,923.0,6.0,955,929.0,0.0,0,0,,,,,,,53.0,93.0,SSW,14.0,0.0,55.0,49.0,WSW,10.0,0.0
2015,12,14,1,HA,337,N489HA,KOA,HNL,801,754,-7,7,801,43,45.0,29.0,163,830.0,9.0,844,839.0,0.0,0,0,,,,,,,,,,,,76.0,76.0,NW,5.0,0.0
2015,12,14,1,NK,562,N504NK,LAS,DEN,801,829,28,13,842,105,92.0,74.0,628,1056.0,5.0,1046,1101.0,1.0,0,0,,0.0,0.0,15.0,0.0,0.0,47.0,39.0,NNW,7.0,0.0,33.0,61.0,WNW,7.0,0.0
2015,12,14,1,OO,4559,N616QX,SEA,SMF,801,757,-4,21,818,117,101.0,75.0,605,933.0,5.0,958,938.0,0.0,0,0,,,,,,,41.0,73.0,SSE,5.0,0.0,46.0,66.0,NNW,10.0,0.0
2015,12,14,1,OO,5500,N117SY,DEN,DFW,801,1319,318,32,1351,123,133.0,89.0,641,1620.0,12.0,1104,1632.0,1.0,0,0,,10.0,0.0,41.0,277.0,0.0,26.0,78.0,W,8.0,0.0,62.0,37.0,SW,6.0,0.0
2015,12,14,1,OO,5676,N776SK,ABQ,SFO,801,756,-5,28,824,162,164.0,131.0,896,935.0,5.0,943,940.0,0.0,0,0,,,,,,,31.0,61.0,ESE,3.0,0.0,50.0,52.0,NNW,12.0,0.0
2015,12,14,1,UA,1293,N844UA,DEN,SAT,801,751,-10,11,802,128,120.0,103.0,794,1045.0,6.0,1109,1051.0,0.0,0,0,,,,,,,26.0,78.0,W,8.0,0.0,50.0,52.0,NNW,12.0,0.0
2015,12,14,1,EV,2752,N903EV,BTR,DFW,802,834,32,8,842,98,82.0,65.0,383,947.0,9.0,940,956.0,1.0,0,0,,0.0,0.0,16.0,0.0,0.0,55.0,89.0,SSE,6.0,0.0,55.0,49.0,WSW,10.0,0.0
2015,12,14,1,EV,5920,N14105,ORD,LEX,802,814,12,14,828,79,80.0,61.0,323,1029.0,5.0,1021,1034.0,0.0,0,0,,,,,,,53.0,89.0,SW,20.0,0.0,55.0,83.0,SSW,21.0,0.0
2015,12,14,1,MQ,3546,N681MQ,MLI,DFW,802,757,-5,10,807,158,129.0,113.0,691,1000.0,6.0,1040,1006.0,0.0,0,0,,,,,,,50.0,83.0,S,14.0,0.0,60.0,39.0,W,9.0,0.0
2015,12,14,1,OO,5335,N941SW,ONT,SFO,802,753,-9,20,813,87,97.0,73.0,363,926.0,4.0,929,930.0,0.0,0,0,,,,,,,47.0,52.0,CALM,0.0,0.0,50.0,52.0,NNW,12.0,0.0
