YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,SCHEDULED_TIME,DISTANCE,SCHEDULED_ARRIVAL,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,ARRIVAL_DELAY,DEPART_TEMP,DEPART_HUMIDITY,DEPART_WINDIR,DEPART_WIND,DEPART_PRECIP,ARRIVAL_TEMP,ARRIVAL_HUMIDITY,ARRIVAL_WINDIR,ARRIVAL_WIND,ARRIVAL_PRECIP
2015,1,5,1,UA,203,LAS,IAH,5,173,1222,458,0,0,,0,0,0,42,4,1,39,45,SSW,10,0,31,79,N,7,0
2015,1,5,1,AA,2400,LAX,DFW,5,170,1235,455,0,0,,15,0,31,0,0,1,58,36,CALM,0,0,25,69,NNE,5,0
2015,1,5,1,US,580,SLC,PHL,10,244,1927,614,0,0,,,,,,,0,30,85,CALM,0,0,40,47,W,16,0
2015,1,5,1,AA,2336,LAX,PBI,10,280,2330,750,0,0,,23,0,0,0,0,1,58,36,CALM,0,0,74,91,SSE,3,0
2015,1,5,1,US,2020,PHX,CLT,15,225,1773,600,0,0,,,,,,,0,48,61,CALM,0,0,39,62,NNW,5,0
2015,1,5,1,US,840,SFO,CLT,20,286,2296,806,0,0,,,,,,,0,47,83,SE,5,0,44,55,W,3,0
2015,1,5,1,AA,258,LAX,MIA,20,285,2342,805,0,0,,17,0,0,0,0,1,58,36,CALM,0,0,78,81,E,5,0
2015,1,5,1,DL,806,SFO,MSP,20,216,1589,556,0,0,,,,,,,0,47,83,SE,5,0,-10,68,WSW,7,0
2015,1,5,1,AS,135,SEA,ANC,25,235,1448,320,0,0,,,,,,,0,51,89,SSW,17,0,9,79,ENE,3,0
2015,1,5,1,NK,612,LAS,MSP,25,181,1299,526,0,0,,113,0,0,0,0,1,39,45,SSW,10,0,-10,68,WSW,7,0
2015,1,5,1,US,1905,LAX,CLT,30,273,2125,803,0,0,,24,0,4,0,0,1,58,36,CALM,0,0,44,55,W,3,0
2015,1,5,1,US,1913,SLC,CLT,30,220,1727,610,0,0,,31,0,6,0,0,1,30,85,CALM,0,0,39,62,NNW,5,0
2015,1,5,1,AA,1112,SFO,DFW,30,195,1464,545,0,0,,,,,,,0,47,83,SE,5,0,23,72,NNE,6,0
2015,1,5,1,AA,1431,SEA,ORD,30,230,1721,620,0,0,,0,0,21,0,0,1,51,89,SSW,17,0,-3,72,W,8,0
2015,1,5,1,AA,1637,RNO,DFW,30,190,1345,540,0,0,,,,,,,0,32,79,CALM,0,0,23,72,NNE,6,0
2015,1,5,1,DL,2582,DEN,ATL,30,179,1199,529,0,0,,,,,,,0,-3,87,CALM,0,0,40,68,NNW,16,0
2015,1,5,1,DL,1434,LAX,MSP,30,218,1535,608,0,0,,,,,,,0,58,36,CALM,0,0,-11,71,SW,7,0
2015,1,5,1,AA,1674,LAS,MIA,35,268,2174,803,0,0,,18,0,23,0,0,1,39,45,SSW,10,0,78,81,E,5,0
2015,1,5,1,US,633,PHX,DTW,40,220,1671,620,0,0,,,,,,,0,48,61,CALM,0,0,9,73,W,14,0
