YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,SCHEDULED_TIME,DISTANCE,SCHEDULED_ARRIVAL,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,ARRIVAL_DELAY,DEPART_TEMP,DEPART_HUMIDITY,DEPART_WINDIR,DEPART_WIND,DEPART_PRECIP,ARRIVAL_TEMP,ARRIVAL_HUMIDITY,ARRIVAL_WINDIR,ARRIVAL_WIND,ARRIVAL_PRECIP
2015,1,6,2,NK,224,ORD,LGA,553,127,733,900,0,0,,163,0,0,0,0,1,2,80,NW,10,0,18,73,SSW,5,0
2015,1,6,2,US,1902,MCO,DCA,555,121,759,756,0,0,,,,,,,0,57,89,CALM,0,0,25,74,E,6,0
2015,1,6,2,WN,2771,GRR,BWI,555,115,528,750,0,0,,,,,,,0,7,84,SSW,7,0,19,93,CALM,0,0
2015,1,6,2,WN,195,LAX,SMF,555,90,373,725,0,0,,,,,,,0,59,28,NE,6,0,34,100,NW,7,0
2015,1,6,2,WN,256,MCI,MDW,555,90,405,725,0,0,,,,,,,0,17,74,NNW,17,0,5,76,WNW,8,0
2015,1,6,2,WN,4826,MDW,MCO,555,160,990,935,0,0,,,,,,,0,7,77,NNW,12,0,66,73,NNW,5,0
2015,1,6,2,WN,288,MDW,STL,555,75,251,710,0,1,B,,,,,,1,7,77,NNW,12,0,27,58,NNW,18,0
2015,1,6,2,WN,433,OMA,MDW,555,90,423,725,0,0,,,,,,,0,5,84,NNW,14,0,5,76,WNW,8,0
2015,1,6,2,WN,4921,PIT,MDW,555,115,402,650,0,0,,48,0,0,0,0,1,14,88,SSE,5,0,5,76,NW,8,0
2015,1,6,2,WN,957,SEA,DEN,555,155,1024,930,0,0,,,,,,,0,48,89,ESE,3,0,37,76,NNE,7,0
2015,1,6,2,WN,771,SMF,DEN,555,150,909,925,0,0,,0,0,101,0,0,1,36,93,NNE,3,0,37,76,NNE,7,0
2015,1,6,2,WN,770,STL,BWI,555,125,738,900,0,0,,,,,,,0,30,54,NW,14,0,21,86,CALM,0,0
2015,1,6,2,AA,1028,DEN,ORD,555,149,888,924,0,0,,18,0,30,0,0,1,29,92,W,16,0,6,69,WNW,12,0
2015,1,6,2,AA,1055,MCO,DFW,555,180,985,755,0,0,,,,,,,0,57,89,CALM,0,0,32,82,SSW,3,0
2015,1,6,2,AA,1233,BOS,DFW,555,274,1562,929,0,0,,,,,,,0,,,,,,44,60,NNW,3,0
