YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,DEPART_TEMP,DEPART_HUMIDITY,DEPART_WINDIR,DEPART_WIND,DEPART_PRECIP,ARRIVAL_TEMP,ARRIVAL_HUMIDITY,ARRIVAL_WINDIR,ARRIVAL_WIND,ARRIVAL_PRECIP
2015,12,15,2,EV,2748,N675AE,BRO,DFW,600,554,-6,10,604,109,92,75,482,719,7,749,726,0,0,0,,,,,,,30,80,WSW,2,0,57,83,S,13,0
2015,12,15,2,EV,2827,N676AE,GPT,DFW,600,552,-8,16,608,119,114,92,500,740,6,759,746,0,0,0,,,,,,,47,93,CALM,0,0,57,83,S,13,0
2015,12,15,2,EV,4129,N17984,ROC,EWR,600,554,-6,11,605,82,59,41,246,646,7,722,653,0,0,0,,,,,,,49,69,W,21,0,58,60,W,15,0
2015,12,15,2,EV,4092,N36915,CAK,EWR,600,552,-8,11,603,90,84,56,382,659,17,730,716,0,0,0,,,,,,,45,71,W,17,0,58,60,W,15,0
2015,12,15,2,EV,4252,N16149,CVG,EWR,600,550,-10,18,608,119,124,78,569,726,28,759,754,0,0,0,,,,,,,43,87,WSW,12,0,58,60,W,15,0
2015,12,15,2,EV,4262,N13992,BTV,EWR,600,547,-13,18,605,81,74,49,266,654,7,721,701,0,0,0,,,,,,,52,71,W,7,0,58,60,W,15,0
2015,12,15,2,EV,4264,N14148,STL,IAH,600,605,5,11,616,129,125,109,667,805,5,809,810,0,0,0,,,,,,,45,80,CALM,0,0,63,87,SSE,8,0
2015,12,15,2,EV,4295,N14558,MHT,EWR,600,557,-3,20,617,83,79,51,209,708,8,723,716,0,0,0,,,,,,,46,96,CALM,0,0,58,60,W,15,0
2015,12,15,2,EV,4329,N17169,OMA,EWR,600,556,-4,14,610,165,155,126,1134,916,15,945,931,0,0,0,,,,,,,34,100,E,8,0,59,48,W,23,0
2015,12,15,2,EV,4533,N15910,GSO,EWR,600,,,,,99,,,445,,,739,,1,0,1,C,,,,,,50,100,SW,6,0,58,60,W,15,0
2015,12,15,2,EV,4896,N914EV,GNV,ATL,600,549,-11,11,600,73,66,48,300,648,7,713,655,0,0,0,,,,,,,71,96,WNW,3,0,48,86,NNW,9,0
2015,12,15,2,EV,4904,N921EV,CSG,ATL,600,554,-6,9,603,50,36,21,83,624,6,650,630,0,0,0,,,,,,,43,93,CALM,0,0,48,86,NW,8,0
2015,12,15,2,EV,4905,N228PQ,GRK,ATL,600,559,-1,27,626,125,139,103,803,909,9,905,918,0,0,0,,,,,,,54,100,S,10,0,57,67,N,10,0
2015,12,15,2,EV,4875,N695CA,PHF,ATL,600,556,-4,12,608,112,101,83,508,731,6,752,737,0,0,0,,,,,,,59,83,W,10,0,48,86,NNW,9,0
2015,12,15,2,EV,5075,N197PQ,HPN,ATL,600,,,,,147,,,780,,,827,,1,0,1,B,,,,,,57,64,WNW,14,0,53,77,N,12,0
2015,12,15,2,EV,5129,N232PQ,OAJ,ATL,600,552,-8,13,605,90,84,66,399,711,5,730,716,0,0,0,,,,,,,61,72,SW,14,0,48,86,NNW,9,0
2015,12,15,2,EV,5032,N856AS,EWN,ATL,600,558,-2,8,606,95,89,76,433,722,5,735,727,0,0,0,,,,,,,63,78,W,14,0,48,86,NNW,9,0
2015,12,15,2,EV,5034,N147PQ,IAH,ATL,600,556,-4,15,611,117,114,88,689,839,11,857,850,0,0,0,,,,,,,52,97,CALM,0,0,53,77,N,12,0
2015,12,15,2,EV,4919,N882AS,MLU,ATL,600,557,-3,16,613,95,97,70,448,823,11,835,834,0,0,0,,,,,,,41,100,CALM,0,0,53,77,N,12,0
2015,12,15,2,EV,5252,N136EV,BTV,ATL,600,559,-1,14,613,185,168,146,961,839,8,905,847,0,0,0,,,,,,,52,71,W,7,0,57,67,N,10,0
2015,12,15,2,EV,5256,N135EV,CID,ATL,600,553,-7,9,602,131,114,98,694,840,7,911,847,0,0,0,,,,,,,35,89,CALM,0,0,57,67,N,10,0
2015,12,15,2,EV,5263,N924EV,PIA,ATL,600,554,-6,22,616,118,115,85,565,841,8,858,849,0,0,0,,,,,,,39,76,NW,8,0,53,77,N,12,0
2015,12,15,2,EV,4956,N134EV,LNK,ATL,600,551,-9,21,612,140,143,114,841,906,8,920,914,0,0,0,,,,,,,36,93,E,9,0,57,67,N,10,0
