YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,SCHEDULED_TIME,DISTANCE,SCHEDULED_ARRIVAL,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,ARRIVAL_DELAY,DEPART_TEMP,DEPART_HUMIDITY,DEPART_WINDIR,DEPART_WIND,DEPART_PRECIP,ARRIVAL_TEMP,ARRIVAL_HUMIDITY,ARRIVAL_WINDIR,ARRIVAL_WIND,ARRIVAL_PRECIP
2015,1,1,4,AS,98,ANC,SEA,5,205,1448,430,0,0,,,,,,,-22.0,,,,,,,,,,
2015,1,1,4,AA,2336,LAX,PBI,10,280,2330,750,0,0,,,,,,,-9.0,,,,,,,,,,
2015,1,1,4,US,840,SFO,CLT,20,286,2296,806,0,0,,,,,,,5.0,,,,,,,,,,
2015,1,1,4,AA,258,LAX,MIA,20,285,2342,805,0,0,,,,,,,-9.0,,,,,,,,,,
2015,1,1,4,AS,135,SEA,ANC,25,235,1448,320,0,0,,,,,,,-21.0,,,,,,,,,,
2015,1,1,4,DL,806,SFO,MSP,25,217,1589,602,0,0,,,,,,,8.0,,,,,,,,,,
2015,1,1,4,NK,612,LAS,MSP,25,181,1299,526,0,0,,,,,,,-17.0,,,,,,,,,,
2015,1,1,4,US,2013,LAX,CLT,30,273,2125,803,0,0,,,,,,,-10.0,,,,,,,,,,
2015,1,1,4,AA,1112,SFO,DFW,30,195,1464,545,0,0,,,,,,,-13.0,,,,,,,,,,
2015,1,1,4,DL,1173,LAS,ATL,30,221,1747,711,0,0,,,,,,,-15.0,,,,,,,,,,
2015,1,1,4,DL,2336,DEN,ATL,30,173,1199,523,0,0,,,,,,,-30.0,,,,,,,,,,
2015,1,1,4,AA,1674,LAS,MIA,35,268,2174,803,0,0,,,,,,,-10.0,,,,,,,,,,
2015,1,1,4,DL,1434,LAX,MSP,35,214,1535,609,0,0,,,,,,,-4.0,,,,,,,,,,
2015,1,1,4,DL,2324,SLC,ATL,40,215,1590,615,0,0,,,,,,,-22.0,,,,,,,,,,
2015,1,1,4,DL,2440,SEA,MSP,40,189,1399,549,0,0,,,,,,,8.0,,,,,,,,,,
2015,1,1,4,AS,108,ANC,SEA,45,204,1448,509,0,0,,,,,,,-14.0,,,,,,,,,,
2015,1,1,4,DL,1560,ANC,SEA,45,210,1448,515,0,0,,,,,,,-24.0,,,,,,,,,,
2015,1,1,4,UA,1197,SFO,IAH,48,218,1635,626,0,0,,,,,,,-7.0,,,,,,,,,,
2015,1,1,4,AS,122,ANC,PDX,50,215,1542,525,0,0,,,,,,,-18.0,,,,,,,,,,
2015,1,1,4,DL,1670,PDX,MSP,50,193,1426,603,0,0,,,,,,,-12.0,,,,,,,,,,
2015,1,1,4,NK,520,LAS,MCI,55,162,1139,537,0,0,,,,,,,0.0,35.0,50.0,SSW,8.0,0.0,15.0,77.0,WSW,9.0,0.0
2015,1,1,4,AA,371,SEA,MIA,100,338,2724,938,0,0,,,,,,,0.0,31.0,72.0,NE,9.0,0.0,78.0,74.0,VAR,3.0,0.0
2015,1,1,4,NK,214,LAS,DFW,103,147,1055,530,0,0,,,,,,,0.0,32.0,54.0,S,10.0,0.0,33.0,78.0,N,8.0,0.0
2015,1,1,4,AA,115,LAX,MIA,105,286,2342,851,0,0,,,,,,,0.0,39.0,57.0,ESE,3.0,0.0,75.0,82.0,VAR,3.0,0.0
2015,1,1,4,DL,1450,LAS,MSP,105,183,1299,608,0,0,,,,,,,0.0,32.0,54.0,S,10.0,0.0,17.0,74.0,SW,12.0,0.0
2015,1,1,4,UA,1545,LAX,IAH,115,183,1379,618,0,0,,,,,,,0.0,39.0,57.0,ESE,3.0,0.0,42.0,82.0,N,8.0,0.0
2015,1,1,4,AS,130,FAI,SEA,115,213,1533,548,0,0,,,,,,,0.0,29.0,89.0,CALM,0.0,0.0,29.0,75.0,CALM,0.0,0.0
2015,1,1,4,NK,597,MSP,FLL,115,207,1487,542,0,0,,25.0,0.0,0.0,0.0,0.0,1.0,12.0,77.0,WSW,10.0,0.0,71.0,100.0,N,3.0,0.0
2015,1,1,4,US,413,LAS,CLT,120,245,1916,825,0,0,,,,,,,0.0,32.0,54.0,S,10.0,0.0,35.0,85.0,CALM,0.0,0.0
2015,1,1,4,AA,2392,DEN,MIA,120,227,1709,707,0,0,,,,,,,0.0,8.0,50.0,SW,7.0,0.0,72.0,91.0,CALM,0.0,0.0
2015,1,1,4,NK,168,PHX,ORD,125,204,1440,549,0,0,,43.0,0.0,0.0,0.0,0.0,1.0,37.0,75.0,WNW,3.0,0.0,15.0,64.0,WSW,18.0,0.0
