YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,SCHEDULED_TIME,DISTANCE,SCHEDULED_ARRIVAL,CANCELLED,ARRIVAL_DELAY,DEPART_TEMP,DEPART_HUMIDITY,DEPART_WINDIR,DEPART_WIND,DEPART_PRECIP,ARRIVAL_TEMP,ARRIVAL_HUMIDITY,ARRIVAL_WINDIR,ARRIVAL_WIND,ARRIVAL_PRECIP
2015,1,1,4,AS,98,ANC,SEA,5,205,1448,430,0,0,34,87,NNE,6,0,27,75,NE,3,0
2015,1,1,4,AA,2336,LAX,PBI,10,280,2330,750,0,0,42,45,E,3,0,72,93,CALM,0,0
2015,1,1,4,US,840,SFO,CLT,20,286,2296,806,0,0,44,65,WNW,3,0,35,85,CALM,0,0
2015,1,1,4,AA,258,LAX,MIA,20,285,2342,805,0,0,42,45,E,3,0,75,82,VAR,3,0
2015,1,1,4,AS,135,SEA,ANC,25,235,1448,320,0,0,30,75,NNE,8,0,34,87,NNE,7,0
2015,1,1,4,DL,806,SFO,MSP,25,217,1589,602,0,0,44,65,WNW,3,0,17,74,SW,12,0
2015,1,1,4,NK,612,LAS,MSP,25,181,1299,526,0,0,35,50,SSW,8,0,16,77,WSW,8,0
2015,1,1,4,US,2013,LAX,CLT,30,273,2125,803,0,0,42,45,E,3,0,35,85,CALM,0,0
2015,1,1,4,AA,1112,SFO,DFW,30,195,1464,545,0,0,44,65,WNW,3,0,33,78,N,8,0
2015,1,1,4,DL,1173,LAS,ATL,30,221,1747,711,0,0,35,50,SSW,8,0,32,79,CALM,0,0
2015,1,1,4,DL,2336,DEN,ATL,30,173,1199,523,0,0,7,51,S,15,0,33,75,NW,3,0
2015,1,1,4,AA,1674,LAS,MIA,35,268,2174,803,0,0,35,50,SSW,8,0,75,82,VAR,3,0
2015,1,1,4,DL,1434,LAX,MSP,35,214,1535,609,0,0,42,45,E,3,0,17,74,SW,12,0
2015,1,1,4,DL,2324,SLC,ATL,40,215,1590,615,0,0,8,80,CALM,0,0,32,79,NW,7,0
2015,1,1,4,DL,2440,SEA,MSP,40,189,1399,549,0,0,30,75,NNE,8,0,16,77,WSW,8,0
2015,1,1,4,AS,108,ANC,SEA,45,204,1448,509,0,0,34,87,NNE,6,0,29,75,CALM,0,0
2015,1,1,4,DL,1560,ANC,SEA,45,210,1448,515,0,0,34,87,NNE,6,0,29,75,CALM,0,0
2015,1,1,4,UA,1197,SFO,IAH,48,218,1635,626,0,0,44,65,WNW,3,0,42,82,N,8,0
2015,1,1,4,AS,122,ANC,PDX,50,215,1542,525,0,0,34,87,NNE,6,0,26,63,ESE,6,0
2015,1,1,4,DL,1670,PDX,MSP,50,193,1426,603,0,0,28,53,ESE,13,0,17,74,SW,12,0
2015,1,1,4,NK,520,LAS,MCI,55,162,1139,537,0,0,34,87,N,6,0,32,73,CALM,0,0
2015,1,1,4,AA,371,SEA,MIA,100,338,2724,938,0,0,65,75,NW,7,0,32,73,CALM,0,0
2015,1,1,4,NK,214,LAS,DFW,103,147,1055,530,0,0,15,64,WSW,18,0,41,93,N,10,0
