YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,SCHEDULED_TIME,DISTANCE,SCHEDULED_ARRIVAL,CANCELLED,ARRIVAL_DELAY,DEPART_TEMP,DEPART_HUMIDITY,DEPART_WINDIR,DEPART_WIND,DEPART_PRECIP,ARRIVAL_TEMP,ARRIVAL_HUMIDITY,ARRIVAL_WINDIR,ARRIVAL_WIND,ARRIVAL_PRECIP
2015,1,7,3,AA,2400,LAX,DFW,5,169,1235,454,0,0,63,30,ENE,6,0,34,70,N,12,0
2015,1,7,3,US,2020,PHX,CLT,15,225,1773,600,0,0,55,49,CALM,0,0,29,78,CALM,0,0
2015,1,7,3,F9,1298,PHX,CVG,15,205,1569,540,0,0,55,49,CALM,0,0,16,68,WNW,20,0
2015,1,7,3,AA,258,LAX,MIA,20,284,2342,804,0,1,63,30,ENE,6,0,71,87,WNW,6,0
2015,1,7,3,AS,135,SEA,ANC,25,235,1448,320,0,0,45,97,CALM,0,0,11,70,E,6,0
2015,1,7,3,NK,612,LAS,MSP,25,181,1299,526,0,1,39,93,WSW,10,0,-8,59,NW,14,0
2015,1,7,3,US,448,SLC,CLT,30,225,1727,615,0,0,31,85,CALM,0,0,29,78,CALM,0,0
2015,1,7,3,AA,1112,SFO,DFW,30,189,1464,539,0,1,49,77,CALM,0,0,34,61,N,20,0
2015,1,7,3,US,1866,LAX,CLT,35,269,2125,804,0,0,63,30,ENE,6,0,36,52,WSW,3,0
2015,1,7,3,UA,1012,LAS,IAH,45,165,1222,530,0,0,50,48,SSW,7,0,46,93,CALM,0,0
2015,1,7,3,UA,1200,SFO,IAH,45,212,1635,617,0,0,49,77,CALM,0,0,46,93,CALM,0,0
2015,1,7,3,UA,1500,LAX,IAH,45,188,1379,553,0,0,63,30,ENE,6,0,46,93,CALM,0,0
2015,1,7,3,AA,1674,LAS,MIA,45,264,2174,809,0,1,50,48,SSW,7,0,71,87,WNW,6,0
2015,1,7,3,AS,108,ANC,SEA,45,204,1448,509,0,0,11,70,ENE,5,0,45,93,N,5,0
