YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,SCHEDULED_TIME,DISTANCE,SCHEDULED_ARRIVAL,CANCELLED,ARRIVAL_DELAY,DEPART_TEMP,DEPART_HUMIDITY,DEPART_WINDIR,DEPART_WIND,DEPART_PRECIP,ARRIVAL_TEMP,ARRIVAL_HUMIDITY,ARRIVAL_WINDIR,ARRIVAL_WIND,ARRIVAL_PRECIP
2015,1,3,6,US,1801,FLL,DCA,700,144,899,924,0,0,76,85,SE,13,0,40,77,NNE,6,0
2015,1,3,6,US,1831,DFW,CLT,700,148,936,1028,0,0,39,93,NW,10,0,50,86,NE,5,0
2015,1,3,6,US,1862,IAH,CLT,700,142,912,1022,0,1,48,93,CALM,0,0,50,86,NE,5,0
2015,1,3,6,US,1877,CLT,MIA,700,119,650,859,0,0,47,93,N,3,0,79,74,ESE,13,0
2015,1,3,6,US,1896,BOS,PHL,700,99,280,839,0,0,23,55,N,5,0,36,60,ENE,6,0
2015,1,3,6,US,1922,JAX,CLT,700,87,328,827,0,0,63,100,E,5,0,48,87,N,6,0
2015,1,3,6,US,1925,CLE,CLT,700,103,430,843,0,0,33,70,SE,10,0,48,87,N,6,0
2015,1,3,6,US,1960,IND,CLT,700,98,427,838,0,0,35,96,ESE,7,0,48,87,N,6,0
2015,1,3,6,US,2016,RDU,PHL,700,91,337,831,0,1,46,86,E,6,0,36,60,ENE,6,0
2015,1,3,6,US,2077,MCI,CLT,700,135,808,1015,0,0,32,92,NNE,5,0,50,86,NE,5,0
2015,1,3,6,US,2169,LGA,DCA,700,59,214,759,0,0,32,64,E,10,0,39,67,CALM,0,0
2015,1,3,6,VX,1951,SAN,SFO,700,95,447,835,0,0,48,63,CALM,0,0,44,79,CALM,0,0
2015,1,3,6,VX,321,FLL,LAX,700,345,2342,945,0,0,76,85,SE,13,0,52,61,E,5,0
2015,1,3,6,VX,399,JFK,LAX,700,385,2475,1025,0,0,32,64,ENE,10,0,55,62,ESE,5,0
2015,1,3,6,VX,740,SFO,SEA,700,125,679,905,0,0,40,89,SSE,5,0,36,93,ESE,6,0
